VTD_ID,total_pop,pop_density,prop_white,prop_Black,prop_Hispanic,prop_AIA,prop_Asian,prop_married,prop_nonfamily,prop_family_nonmarried,prop_hs_diploma,prop_some_college,prop_bachelors,prop_higher,prop_under_hs,prop_under_30k,prop_30_to_50k,prop_50_to_100k,prop_more_than_100k,D_pct_vote,Weighted_ideology
26163163039,2463.755799,0.003040713,0.601069892,0.0493098,0.028362977,0.001576067,0.318487198,0.793893234,0.137848709,0.068258057,0,0.074368273,0.324334955,0.387197838,0.214098935,0.042476672,0.067906817,0.150486248,0.739130263,0.640401146,-0.53127543
26163163040,2469.585574,0.000970274,0.842891761,0.057350565,0.010904685,0,0.076736672,0.761138614,0.14480198,0.094059406,0,0.093009119,0.37993921,0.190273556,0.336778116,0.037128713,0.116336634,0.236386139,0.610148515,0.55620438,-0.332209854
26163163042,1802,0.001402107,0.794117647,0.088235294,0.015538291,0,0.095449501,0.453717754,0.330804249,0.215477997,0,0.141253508,0.365762395,0.216089804,0.276894294,0.144157815,0.13353566,0.376327769,0.345978756,0.572438163,-0.373667845
26163163043,2465.702523,0.003683618,0.797351706,0.081296855,0.012010918,0.001216692,0.107819582,0.562396534,0.270809473,0.166793994,0,0.185004231,0.256094542,0.143154613,0.415746613,0.09697233,0.169412046,0.409889417,0.323726207,0.587047939,-0.411418419
26163163044,3215.211113,0.000857779,0.719425023,0.081536504,0.023918992,0.029324834,0.097063155,0.488375181,0.401533616,0.110091204,0,0.161591148,0.301374913,0.165268037,0.371765902,0.193308959,0.191025208,0.308990902,0.30667493,0.602639296,-0.437945748
26163163045,1096.051733,0.00084831,0.697056175,0.055096278,0.011574234,0.033573515,0.196086953,0.471015035,0.353987934,0.174997031,0,0.138219526,0.254028693,0.216460908,0.391290873,0.167899045,0.239339351,0.360948521,0.231813084,0.658301158,-0.607315637
26163163046,1855.303677,0.004987632,0.800212245,0.038228777,0.010694241,0.000891187,0.150130819,0.567719908,0.365319108,0.066960984,0,0.13471789,0.264431717,0.135151263,0.46569913,0.079418527,0.176199324,0.339320042,0.405062106,0.6152513,-0.479014515
26163163047,2151.232481,0.004044575,0.634341374,0.063728081,0.043082321,0.007827351,0.215775516,0.701138503,0.21967845,0.079183047,0,0.106663936,0.330014458,0.23098249,0.332339116,0.11585044,0.110065531,0.324260878,0.449823151,0.571057192,-0.371259532
26163163048,2571,0.002006782,0.661221315,0.046674446,0,0,0.265266433,0.820823245,0.094430993,0.084745763,0,0.143980641,0.323049002,0.212341198,0.320629159,0.049636804,0.090799031,0.280871671,0.578692494,0.630099728,-0.506815956
26163163049,2329,0.001826397,0.899098325,0,0.015886647,0.010734221,0.066122799,0.749329759,0.13538874,0.115281501,0.010897436,0.121153846,0.292307692,0.21474359,0.360897436,0.04155496,0.115281501,0.202412869,0.64075067,0.550724638,-0.318379369
26163163050,1587.239602,0.003443324,0.623948402,0.073671485,0.057794581,0,0.222887261,0.569079264,0.280140555,0.150780181,0,0.116664362,0.250168321,0.26040983,0.372757487,0.102243977,0.169193768,0.232594494,0.49596776,0.623566215,-0.490495308
26163163051,2007,0.001531773,0.779770802,0.030393622,0.013452915,0.021425012,0.149476831,0.725170068,0.175510204,0.099319728,0,0.13583815,0.340317919,0.180635838,0.343208092,0.069387755,0.103401361,0.355102041,0.472108844,0.554437328,-0.327205398
26163163052,2482.522705,0.005215219,0.710748149,0.05830999,0.044039416,0.019658707,0.160414257,0.653713942,0.23945543,0.106830628,0.001923085,0.116216033,0.326778187,0.158896751,0.396185945,0.147065433,0.136324224,0.327590779,0.389019565,0.554776512,-0.333194785
